absolute_return,asset,assigned_weth_amount,assignment_frequency,assignment_settlement,assignments,candidate_id,cash_settlement_used,cash_usdc,collateral_assigned_usdc,costs,covered_calls_used,deallocation_used,decisions,eligible_decisions,ending_weth,ending_weth_nav_fraction,entry_filter,estimated_costs_usdc,final_nav_reconciliation_error_usdc,final_nav_usdc,initial_usdc,maximum_drawdown,median_iv_minus_realized_volatility,median_trend_return,minimum_net_premium_bps,missing_market_events,missing_market_fraction,open_rate,peak_weth_nav_fraction,positions_opened,positions_settled,premium_modeled_usdc,premium_net_usdc,premium_observed_usdc,pricing_observation_class,skipped_entry_filter,skipped_insufficient_collateral,skipped_minimum_premium,skipped_weth_inventory,strategy,target_delta,utilization,window_days,window_end,window_start
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2023-10-14T08:00:00+00:00,2023-09-14T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2023-11-13T08:00:00+00:00,2023-10-14T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2023-12-13T08:00:00+00:00,2023-11-13T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-01-12T08:00:00+00:00,2023-12-13T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-02-11T08:00:00+00:00,2024-01-12T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-03-12T08:00:00+00:00,2024-02-11T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-04-11T08:00:00+00:00,2024-03-12T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-05-11T08:00:00+00:00,2024-04-11T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-06-10T08:00:00+00:00,2024-05-11T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-07-10T08:00:00+00:00,2024-06-10T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-08-09T08:00:00+00:00,2024-07-10T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-09-08T08:00:00+00:00,2024-08-09T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-10-08T08:00:00+00:00,2024-09-08T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-11-07T08:00:00+00:00,2024-10-08T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2024-12-07T08:00:00+00:00,2024-11-07T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2025-01-06T08:00:00+00:00,2024-12-07T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2025-02-05T08:00:00+00:00,2025-01-06T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2025-03-07T08:00:00+00:00,2025-02-05T08:00:00+00:00
0.0,ETH,0.0,0.0,physical_weth_inventory,0,d0.05-u0.25-p25-none-base,False,100000.0,0.0,base,False,False,15,15,0.0,0.0,none,0.0,0.0,100000.0,100000.0,0.0,,,25,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,modeled,0,0,15,0,standalone_physical_csp,0.05,0.25,30,2025-04-06T08:00:00+00:00,2025-03-07T08:00:00+00:00
