absolute_return,annualized_volatility_secondary,asset,assignment_frequency,assignments,call_margin_usd,complete_cycles,costs,covered_calls_called,covered_calls_opened,csp_opened,daily_volatility,ending_eth,ending_underlying,ending_weighted_gross_basis,estimated_costs_usdc,eth_exposure_hours,eth_idle_hours,eth_idle_share,final_nav_usdc,idle_capital_share,initial_usdc,lot_floor_breach_opportunities,maximum_drawdown,minimum_premium_bps,missing_market_events,mm_hedge_cost_usdc,mm_hedge_pnl_usdc,mm_hedge_turnover_usdc,mm_hedged_pnl_usdc,mm_hedged_return_on_initial_vault_aum,mm_option_payoff_usdc,mm_premium_paid_usdc,mm_pricing_observation_class,mm_unhedged_pnl_usdc,modeled_premium_fraction,option_transfer_reconciliation_usdc,premium_gross_usdc,premium_modeled_usdc,premium_net_usdc,premium_observed_usdc,pricing_observation_class,protection_mode,realized_low_high_pnl_usdc,skipped_minimum_premium,strategy,target_delta,total_pnl_usdc,turnover_usdc,unrealized_eth_pnl_usdc,unrealized_underlying_pnl_usdc,utilization,vault_option_pnl_usdc,window_days,window_end,window_start
0.0,,ETH,,,,,,,,,,,,,,,,,100000.0,,100000.0,,,,,,,,,,,,,,,,,,,,observed,,,,hold_usdc,,0.0,,,,,,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.0897733796177751,,ETH,,,,,,,,,,,,,,,,,108977.3379617775,,100000.0,,,,,,,,,,,,,,,,,,,,observed,,,,hold_eth,,8977.33796177751,,,,,,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.04488668980888755,,ETH,,,,,,,,,,,,,,,,,104488.66898088876,,100000.0,,,,,,,,,,,,,,,,,,,,observed,,,,hold_50_50_no_rebalance,,4488.668980888755,,,,,,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.035851966481297515,0.08495549846658002,ETH,0.13333333333333333,2,0.0,2,low,2,5,15,0.00444677402529842,0,0,0.0,0.0,240.0,0.0,0.0,103585.19664812974,0.5012816051107701,100000.0,0,-0.02251835086593057,0,0,59.65330156733999,-1016.1302973201302,298266.5078366999,-1134.8762888541266,-0.011348762888541267,3224.4985975856207,3283.591287552277,modeled,-59.09268996665651,1.0,0.0,3283.5912875522777,3283.5912875522777,3283.5912875522777,0.0,modeled,lot_gross,301.6053605774508,0,wheel,0.1,3585.1966481297422,993190.0136790778,0,0,0.5,59.09268996665651,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.010356237764362453,0.01684998422307591,ETH,0.13333333333333333,2,0.0,0,low,0,0,15,0.0008819684837625607,0,0,0.0,0.0,0.0,0.0,0.0,101035.62377643624,0.5005095723189731,100000.0,0,-0.010391341926756281,0,0,42.7199968153034,-74.80492770679422,213599.98407651696,-1153.1487009583248,-0.011531487009583247,500.4018262619136,1536.0256026981408,modeled,-1035.6237764362272,1.0,0.0,1536.0256026981408,1536.0256026981408,1536.0256026981408,0.0,modeled,lot_gross,0.0,0,csp_only,0.1,1035.623776436245,752817.6636115509,0,0,0.5,1035.6237764362272,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.035611915481776446,0.08496755465225662,ETH,0.13333333333333333,2,0.0,2,base,2,5,15,0.004447405074898252,0,0,0.0,0.0,240.0,0.0,0.0,103561.19154817764,0.5012724436222333,100000.0,0,-0.02252075096948547,0,0,148.9772957697494,-1015.171255337344,297954.59153949877,-1199.4350039085464,-0.011994350039085463,3224.3125412947447,3259.5989940961977,modeled,-35.286452801452924,1.0,0.0,3259.5989940961977,3259.5989940961977,3259.5989940961977,0.0,modeled,lot_gross,301.5925540814096,0,wheel,0.1,3561.1915481776377,993080.1097065883,0,0,0.5,35.286452801452924,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.01022917798681866,0.016797759625675476,ETH,0.13333333333333333,2,0.0,0,base,0,0,15,0.0008792349233998578,0,0,0.0,0.0,0.0,0.0,0.0,101022.91779868187,0.5005053868113104,100000.0,0,-0.01038640032071958,0,0,106.62745148970161,-74.99503308869518,213254.90297940324,-1204.5402832602604,-0.012045402832602603,500.3872029753919,1523.3050016572556,modeled,-1022.9177986818637,1.0,0.0,1523.3050016572556,1523.3050016572556,1523.3050016572556,0.0,modeled,lot_gross,0.0,0,csp_only,0.1,1022.9177986818686,752772.5551427936,0,0,0.5,1022.9177986818637,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.03391714883325658,0.08930501203785839,ETH,0.13333333333333333,2,0.0,2,stressed,2,5,15,0.004674437970782209,0,0,0.0,0.0,240.0,0.0,0.0,103391.71488332565,0.5012078397864673,100000.0,0,-0.023209096903280768,0,0,290.50889673879897,-1015.971644332526,290508.89673879906,-1180.4764430073412,-0.011804764430073411,3216.6238508736565,3090.6197528096727,modeled,126.00409806398375,1.0,0.0,3090.6197528096736,3090.6197528096736,3090.6197528096736,0.0,modeled,lot_gross,301.0951305159996,0,wheel,0.1,3391.7148833256506,992401.5668085696,0,0,0.5,-126.00409806398375,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.00860187807333257,0.01852935505209485,ETH,0.13333333333333333,2,0.0,0,stressed,0,0,15,0.000969870770443428,0,0,0.0,0.0,0.0,0.0,0.0,100860.18780733325,0.5005022330641742,100000.0,0,-0.011575227942971389,0,0,215.7665624089567,-144.58957661760383,215766.56240895673,-1220.5439463598036,-0.012205439463598037,652.0465072986681,1512.2343146319113,modeled,-860.1878073332432,1.0,0.0,1512.2343146319113,1512.2343146319113,1512.2343146319113,0.0,modeled,lot_gross,0.0,0,csp_only,0.1,860.1878073332482,751999.1385716815,0,0,0.5,860.1878073332432,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.035851966481297515,0.08495549846658002,ETH,0.13333333333333333,2,0.0,2,low,2,5,15,0.00444677402529842,0,0,0.0,0.0,240.0,0.0,0.0,103585.19664812974,0.5012816051107701,100000.0,0,-0.02251835086593057,0,0,59.65330156733999,-1016.1302973201302,298266.5078366999,-1134.8762888541266,-0.011348762888541267,3224.4985975856207,3283.591287552277,modeled,-59.09268996665651,1.0,0.0,3283.5912875522777,3283.5912875522777,3283.5912875522777,0.0,modeled,lot_gross_plus_weighted_gross,301.6053605774508,0,wheel,0.1,3585.1966481297422,993190.0136790778,0,0,0.5,59.09268996665651,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.035611915481776446,0.08496755465225662,ETH,0.13333333333333333,2,0.0,2,base,2,5,15,0.004447405074898252,0,0,0.0,0.0,240.0,0.0,0.0,103561.19154817764,0.5012724436222333,100000.0,0,-0.02252075096948547,0,0,148.9772957697494,-1015.171255337344,297954.59153949877,-1199.4350039085464,-0.011994350039085463,3224.3125412947447,3259.5989940961977,modeled,-35.286452801452924,1.0,0.0,3259.5989940961977,3259.5989940961977,3259.5989940961977,0.0,modeled,lot_gross_plus_weighted_gross,301.5925540814096,0,wheel,0.1,3561.1915481776377,993080.1097065883,0,0,0.5,35.286452801452924,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.03391714883325658,0.08930501203785839,ETH,0.13333333333333333,2,0.0,2,stressed,2,5,15,0.004674437970782209,0,0,0.0,0.0,240.0,0.0,0.0,103391.71488332565,0.5012078397864673,100000.0,0,-0.023209096903280768,0,0,290.50889673879897,-1015.971644332526,290508.89673879906,-1180.4764430073412,-0.011804764430073411,3216.6238508736565,3090.6197528096727,modeled,126.00409806398375,1.0,0.0,3090.6197528096736,3090.6197528096736,3090.6197528096736,0.0,modeled,lot_gross_plus_weighted_gross,301.0951305159996,0,wheel,0.1,3391.7148833256506,992401.5668085696,0,0,0.5,-126.00409806398375,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.035851966481297515,0.08495549846658002,ETH,0.13333333333333333,2,0.0,2,low,2,5,15,0.00444677402529842,0,0,0.0,0.0,240.0,0.0,0.0,103585.19664812974,0.5012816051107701,100000.0,0,-0.02251835086593057,0,0,59.65330156733999,-1016.1302973201302,298266.5078366999,-1134.8762888541266,-0.011348762888541267,3224.4985975856207,3283.591287552277,modeled,-59.09268996665651,1.0,0.0,3283.5912875522777,3283.5912875522777,3283.5912875522777,0.0,modeled,lot_gross_plus_weighted_net,301.6053605774508,0,wheel,0.1,3585.1966481297422,993190.0136790778,0,0,0.5,59.09268996665651,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.035611915481776446,0.08496755465225662,ETH,0.13333333333333333,2,0.0,2,base,2,5,15,0.004447405074898252,0,0,0.0,0.0,240.0,0.0,0.0,103561.19154817764,0.5012724436222333,100000.0,0,-0.02252075096948547,0,0,148.9772957697494,-1015.171255337344,297954.59153949877,-1199.4350039085464,-0.011994350039085463,3224.3125412947447,3259.5989940961977,modeled,-35.286452801452924,1.0,0.0,3259.5989940961977,3259.5989940961977,3259.5989940961977,0.0,modeled,lot_gross_plus_weighted_net,301.5925540814096,0,wheel,0.1,3561.1915481776377,993080.1097065883,0,0,0.5,35.286452801452924,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.03391714883325658,0.08930501203785839,ETH,0.13333333333333333,2,0.0,2,stressed,2,5,15,0.004674437970782209,0,0,0.0,0.0,240.0,0.0,0.0,103391.71488332565,0.5012078397864673,100000.0,0,-0.023209096903280768,0,0,290.50889673879897,-1015.971644332526,290508.89673879906,-1180.4764430073412,-0.011804764430073411,3216.6238508736565,3090.6197528096727,modeled,126.00409806398375,1.0,0.0,3090.6197528096736,3090.6197528096736,3090.6197528096736,0.0,modeled,lot_gross_plus_weighted_net,301.0951305159996,0,wheel,0.1,3391.7148833256506,992401.5668085696,0,0,0.5,-126.00409806398375,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
0.05197706277481795,0.20824379576323138,ETH,0.13333333333333333,2,50.0,2,low,2,12,15,0.01089997844334659,0,0,0.0,0.0,384.0,0.0,0.0,105197.7062774818,0.5013141992870948,100000.0,4,-0.0638335291783162,0,0,49.15624452198956,-4.902832006658173,245781.22260994778,-2104.1752439436705,-0.021041752439436706,673.9515628821057,2724.0677302971285,modeled,-2050.1161674150226,1.0,0.0,2724.0677302971285,2724.0677302971285,2724.0677302971285,0.0,modeled,lot_gross,2473.638547184655,0,wheel,0.1,5197.706277481804,1113822.6580795795,0,0,0.5,2050.1161674150226,30,2026-07-15T08:00:00+00:00,2026-06-15T08:00:00+00:00
