aggregate_utilization,assignment_frequency_per_settled_put,assignments,assignments_per_30_days,average_eth_inventory,causal_observations_only,complete_wheel_cycles,cost_scenario,covered_calls_called,covered_calls_opened,daily_return_cvar_5_after_parent_fees,ending_eth,eth_inventory_time_fraction,execution_cost_usdc,final_nav_usdc,idle_capital_fraction_mean,issue,iv_spike,management_fee_usdc,market_regime,maximum_drawdown_after_parent_fees,median_opened_absolute_put_delta,minimum_net_premium_bps,missing_market_events,modeled_gross_premium_usdc,modeled_net_premium_usdc,modeled_net_premium_yield,observed_executable_premium_events,observed_executable_premium_usdc,operational_actions,operational_actions_per_30_days,operational_decisions,peak_eth,performance_fee_usdc,period_return,policy_id,premium_observation_class,protocol_premium_fee_usdc,put_lane_count,put_target_delta,put_tenor_hours,puts_opened,puts_settled,redemption_liquidity_definition,redemption_liquidity_fraction_mean,redemption_liquidity_fraction_minimum,redemption_liquidity_fraction_p5,risk_metric_fee_basis,schema_version,skipped_liquidity,skipped_premium_floor,split,strike_tick_usd,turnover_usdc,underlying_maximum_drawdown,underlying_period_return,volatility_crash,window_days,window_end,window_start
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-5.5063225704754526e-05,0,0.0,0.0,99835.61643835617,1.0008228242433808,B1N-450,0.0867,164.3835616438356,bear,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,15,0.0,0.0,-0.0016438356164383272,current_48h,modeled_binary_bid_on_observed_spot_and_dvol,0.0,1,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.0008228242433808,1.0000001902587883,1.000082198536866,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,14,development,25.0,0.0,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-5.4931753895093305e-05,0,0.0,0.0,99835.61643835617,1.0008228361376148,B1N-450,0.0867,164.3835616438356,bear,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,60,0.0,0.0,-0.0016438356164383272,current_48h_staggered_4,modeled_binary_bid_on_observed_spot_and_dvol,0.0,4,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.0008228361376148,1.0000001902587883,1.0000823888269335,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,56,development,25.0,0.0,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.3,0.2222222222222222,2,2.0,6.4233334484866695,True,0,base,0,0,-0.004937899289325809,8.698238909805038,0.7680555555555556,0.0,99076.41068427966,0.7520755489398002,B1N-450,0.0867,164.3835616438356,bear,-0.017930314938423453,0.09203352601961523,20,0,158.04537120423612,142.2408340838125,0.001422408340838125,0,0.0,18,18.0,18,8.698238909805038,0.0,-0.009235893157203412,weekly_4_low_30pct,modeled_binary_bid_on_observed_spot_and_dvol,15.804537120423612,4,0.09,168,9,9,unencumbered_usdc_divided_by_marked_nav_proxy,0.7520755489398002,0.645194617592564,0.6470746740319573,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,5,development,25.0,61355.824517142304,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.6,0.2222222222222222,2,2.0,12.847745558652418,True,0,base,0,0,-0.00977418455699669,17.39799765602688,0.7680555555555556,0.0,98287.95370345665,0.5292200623805172,B1N-450,0.0867,164.3835616438356,bear,-0.03496881460670398,0.09203352601961523,20,0,283.7227872200504,255.35050849804537,0.002553505084980454,0,0.0,18,18.0,18,17.39799765602688,0.0,-0.01712046296543357,weekly_4_high_60pct,modeled_binary_bid_on_observed_spot_and_dvol,28.372278722005042,4,0.09,168,9,9,unencumbered_usdc_divided_by_marked_nav_proxy,0.5292200623805172,0.32100912343633886,0.32286528199104886,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,5,development,25.0,110411.59252602675,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.5,7,7.0,50.716054854207286,True,0,base,0,0,-0.04528261364939917,55.560431069394284,0.9347222222222222,0.0,89900.63867711576,0.018117441368716347,B1N-450,0.0867,164.3835616438356,bear,-0.1467495409681837,0.33258186464853867,20,0,554.5745426150628,499.11708835355637,0.004991170883535564,0,0.0,28,28.0,15,55.560431069394284,0.0,-0.10099361322884248,atm_48h_control,modeled_binary_bid_on_observed_spot_and_dvol,55.45745426150627,1,0.5,48,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.018117441368716347,1.723902063010102e-05,1.752761487565994e-05,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,104862.10699247538,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-5.5063225704754526e-05,0,0.0,0.0,99835.61643835617,1.0008228242433808,B1N-450,0.0867,164.3835616438356,bear,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,15,0.0,0.0,-0.0016438356164383272,hybrid_current_csp_weekly_cc,modeled_binary_bid_on_observed_spot_and_dvol,0.0,1,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.0008228242433808,1.0000001902587883,1.000082198536866,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,14,development,25.0,0.0,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,stressed,0,0,-5.544428609022267e-05,0,0.0,0.0,99835.61643835617,1.000822832172005,B1N-450,0.0867,164.3835616438356,bear,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,15,0.0,0.0,-0.0016438356164383272,current_48h,modeled_binary_bid_on_observed_spot_and_dvol,0.0,1,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.000822832172005,1.0000005707765816,1.000082198536866,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,14,development,25.0,0.0,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,stressed,0,0,-5.5122023104148266e-05,0,0.0,0.0,99835.61643835617,1.00082286785472,B1N-450,0.0867,164.3835616438356,bear,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,60,0.0,0.0,-0.0016438356164383272,current_48h_staggered_4,modeled_binary_bid_on_observed_spot_and_dvol,0.0,4,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.00082286785472,1.0000005707765816,1.0000827694072854,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,56,development,25.0,0.0,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.3,0.2222222222222222,2,2.0,6.423327945110684,True,0,stressed,0,0,-0.0049384852488220665,8.698231155537606,0.7680555555555556,0.0,99074.95882787928,0.7520747589187957,B1N-450,0.0867,164.3835616438356,bear,-0.017941272372455463,0.09203352601961523,20,0,156.43151677365492,140.78836509628943,0.0014078836509628942,0,0.0,18,18.0,18,8.698231155537606,0.0,-0.009250411721207219,weekly_4_low_30pct,modeled_binary_bid_on_observed_spot_and_dvol,15.643151677365491,4,0.09,168,9,9,unencumbered_usdc_divided_by_marked_nav_proxy,0.7520747589187957,0.6451933582768499,0.6470736644437535,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,5,development,25.0,61355.38224913657,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.6,0.2222222222222222,2,2.0,12.84772354514866,True,0,stressed,0,0,-0.009775364595160263,17.39796663895715,0.7680555555555556,0.0,98285.34669022601,0.5292163139202763,B1N-450,0.0867,164.3835616438356,bear,-0.0349873042890555,0.09203352601961523,20,0,280.8233832432015,252.74104491888136,0.0025274104491888136,0,0.0,18,18.0,18,17.39796663895715,0.0,-0.017146533097739836,weekly_4_high_60pct,modeled_binary_bid_on_observed_spot_and_dvol,28.082338324320148,4,0.09,168,9,9,unencumbered_usdc_divided_by_marked_nav_proxy,0.5292163139202763,0.32100388781007894,0.3228602541039673,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,5,development,25.0,110409.94222973644,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.5,7,7.0,50.71371862959352,True,0,stressed,0,0,-0.04528296155769429,55.55744104911192,0.9347222222222222,0.0,89895.78868434102,0.01811360414464343,B1N-450,0.0867,164.3835616438356,bear,-0.14679557121720876,0.33258186464853867,20,0,548.8425791114494,493.9583212003043,0.004939583212003043,0,0.0,28,28.0,15,55.55744104911192,0.0,-0.10104211315658973,atm_48h_control,modeled_binary_bid_on_observed_spot_and_dvol,54.88425791114492,1,0.5,48,14,14,unencumbered_usdc_divided_by_marked_nav_proxy,0.01811360414464343,1.720499720225506e-05,1.7493021715772365e-05,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,0,development,25.0,104854.94547568099,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,stressed,0,0,-5.544428609022267e-05,0,0.0,0.0,99835.61643835617,1.000822832172005,B1N-450,0.0867,164.3835616438356,bear,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,15,0.0,0.0,-0.0016438356164383272,hybrid_current_csp_weekly_cc,modeled_binary_bid_on_observed_spot_and_dvol,0.0,1,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.000822832172005,1.0000005707765816,1.000082198536866,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,14,development,25.0,0.0,-0.16516076516076517,-0.11995439615624748,False,30,2023-09-14T08:00:00+00:00,2023-08-15T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-5.5063225704754526e-05,0,0.0,0.0,99835.61643835617,1.0008228242433808,B1N-450,0.04369999999999996,164.3835616438356,sideways,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,15,0.0,0.0,-0.0016438356164383272,current_48h,modeled_binary_bid_on_observed_spot_and_dvol,0.0,1,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.0008228242433808,1.0000001902587883,1.000082198536866,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,14,development,25.0,0.0,-0.1189982131534959,-0.04463294262800732,False,30,2023-10-14T08:00:00+00:00,2023-09-14T08:00:00+00:00
0.8,0.0,0,0.0,0.0,True,0,base,0,0,-5.4931753895093305e-05,0,0.0,0.0,99835.61643835617,1.0008228361376148,B1N-450,0.04369999999999996,164.3835616438356,sideways,-0.0016438356164383272,,20,0,0.0,0.0,0.0,0,0.0,0,0.0,60,0.0,0.0,-0.0016438356164383272,current_48h_staggered_4,modeled_binary_bid_on_observed_spot_and_dvol,0.0,4,0.09,48,0,0,unencumbered_usdc_divided_by_marked_nav_proxy,1.0008228361376148,1.0000001902587883,1.0000823888269335,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,56,development,25.0,0.0,-0.1189982131534959,-0.04463294262800732,False,30,2023-10-14T08:00:00+00:00,2023-09-14T08:00:00+00:00
0.3,0.0,0,0.0,0.0,True,0,base,0,0,-0.00034757625307674234,0,0.0,0.0,99903.24936406408,0.9310334446494687,B1N-450,0.04369999999999996,164.49492211426576,sideways,-0.002237966047516693,0.10150579336953147,20,0,75.27142908704344,67.7442861783391,0.000677442861783391,0,0.0,8,8.0,18,0.0,0.0,-0.0009675063593592714,weekly_4_low_30pct,modeled_binary_bid_on_observed_spot_and_dvol,7.527142908704344,4,0.09,168,4,4,unencumbered_usdc_divided_by_marked_nav_proxy,0.9310334446494687,0.8509065223373453,0.8511204868024389,after_accrued_management_and_hypothetical_hwm_performance_fees,1,0,10,development,25.0,30007.922454010222,-0.1189982131534959,-0.04463294262800732,False,30,2023-10-14T08:00:00+00:00,2023-09-14T08:00:00+00:00
